Cm,Ch,Bm,Bh,T,sR,sG,sB
0.001,0.00982769,0.0277778,0.5,0.25,249.468,201.8,180.537
0.001,0.00982769,0.0277778,0.666667,0.09,245.544,195.689,170.439
0.001,0.00982769,0.0277778,0.666667,0.13,246.626,197.334,174.088
0.001,0.00982769,0.0277778,0.833333,0.09,244.469,194.924,172.265
0.001,0.00982769,0.0277778,0.833333,0.17,246.045,198.22,178.135
0.001,0.00982769,0.0277778,0.833333,0.13,245.389,196.872,175.396
0.001,0.00982769,0.0277778,0.833333,0.21,246.761,199.453,180.427
0.001,0.00982769,0.0277778,0.833333,0.05,243.295,193.168,168.162
0.001,0.00982769,0.0277778,1,0.09,243.495,194.723,173.869
0.001,0.00982769,0.0277778,1,0.17,245.383,197.602,179.542
0.001,0.00982769,0.0277778,1,0.21,246.072,199.101,182.002
0.001,0.00982769,0.0277778,1,0.13,244.52,196.472,177.144
0.001,0.00982769,0.0277778,1,0.25,246.747,200.369,184.566
0.001,0.00982769,0.0277778,1,0.01,241.14,190.487,164.138
0.001,0.00982769,0.0277778,0.833333,0.25,247.358,200.87,182.819
0.001,0.00982769,0.0277778,1,0.05,242.583,192.893,170.244
0.001,0.00982769,0.111111,0,0.01,247.73,195.147,156.723
0.001,0.00982769,0.111111,0,0.05,248.829,197.172,163.452
0.001,0.00982769,0.111111,0,0.09,249.663,198.768,167.543
0.001,0.00982769,0.111111,0.166667,0.01,246.411,194.206,157.097
0.001,0.00982769,0.111111,0.166667,0.13,249.096,199.395,171.561
0.001,0.00982769,0.111111,0.166667,0.21,250.339,201.864,177.352
0.001,0.00982769,0.111111,0.333333,0.01,245.166,193.182,157.848
0.001,0.00982769,0.111111,0,0.13,250.445,200.006,171.166
0.001,0.00982769,0.111111,0,0.17,251.038,201.276,174.165
0.001,0.00982769,0.111111,0.166667,0.05,247.665,196.506,163.651
0.001,0.00982769,0.111111,0,0.21,251.339,202.325,177.282
0.001,0.00982769,0.111111,0,0.25,251.96,203.467,179.407
0.001,0.00982769,0.111111,0.333333,0.21,249.689,201.279,177.944
0.001,0.00982769,0.111111,0.166667,0.09,248.585,198.032,168.003
0.001,0.00982769,0.111111,0.166667,0.17,249.814,200.679,174.74
0.001,0.00982769,0.111111,0.333333,0.25,250.266,202.518,180.066
0.001,0.00982769,0.111111,0.5,0.01,244.149,192.641,159.116
0.001,0.00982769,0.111111,0.166667,0.25,250.956,203.037,179.707
0.001,0.00982769,0.111111,0.333333,0.05,246.569,195.627,164.291
0.001,0.00982769,0.111111,0.333333,0.09,247.445,197.389,168.537
0.001,0.00982769,0.111111,0.5,0.05,245.45,194.894,165.082
0.001,0.00982769,0.111111,0.333333,0.13,248.103,198.771,171.76
0.001,0.00982769,0.111111,0.5,0.13,247.107,198.264,172.846
0.001,0.00982769,0.111111,0.5,0.21,248.682,200.749,179.273
0.001,0.00982769,0.111111,0.5,0.17,248.01,199.506,176.068
0.001,0.00982769,0.111111,0.333333,0.17,248.83,200.177,175.044
0.001,0.00982769,0.111111,0.666667,0.01,243.1,191.905,160.448
0.001,0.00982769,0.111111,0.5,0.25,249.366,202.018,181.23
0.001,0.00982769,0.111111,0.5,0.09,246.384,196.526,169.401
0.001,0.00982769,0.111111,0.666667,0.17,247.008,199.025,177.067
0.001,0.00982769,0.111111,0.666667,0.21,247.74,200.229,179.655
0.001,0.00982769,0.111111,0.666667,0.25,248.483,201.566,182.005
0.001,0.00982769,0.111111,0.833333,0.01,242.045,191.151,162.473
0.001,0.00982769,0.111111,0.666667,0.05,244.382,194.254,166.635
0.001,0.00982769,0.111111,0.833333,0.05,243.158,193.734,168.514
0.001,0.00982769,0.111111,0.666667,0.09,245.487,196.125,170.964
0.001,0.00982769,0.111111,0.666667,0.13,246.235,197.567,174.684
0.001,0.00982769,0.111111,0.833333,0.09,244.207,195.161,172.591
0.001,0.00982769,0.111111,0.833333,0.13,245.11,196.695,175.937
0.001,0.00982769,0.111111,1,0.09,243.392,193.842,174.36
0.001,0.00982769,0.111111,1,0.21,245.746,197.921,182.475
0.001,0.00982769,0.111111,1,0.25,246.362,199.011,184.636
0.001,0.00982769,0.111111,0.833333,0.21,246.363,198.437,180.85
0.001,0.00982769,0.25,0,0.13,249.638,199.05,171.209
0.001,0.00982769,0.25,0,0.21,250.844,201.622,175.899
0.001,0.00982769,0.25,0,0.25,251.226,202.673,177.803
0.001,0.00982769,0.111111,0.833333,0.17,245.758,197.375,178.512
0.001,0.00982769,0.111111,1,0.05,242.307,191.807,170.161
0.001,0.00982769,0.111111,0.833333,0.25,247.144,199.657,183.373
0.001,0.00982769,0.111111,1,0.17,245.072,196.835,179.945
0.001,0.00982769,0.111111,1,0.01,240.759,189.347,164.593
0.001,0.00982769,0.25,0.166667,0.09,247.879,196.965,166.865
0.001,0.00982769,0.111111,1,0.13,244.099,195.503,177.599
0.001,0.00982769,0.25,0,0.01,247.403,193.973,157.478
0.001,0.00982769,0.25,0.166667,0.13,248.501,198.531,170.391
0.001,0.00982769,0.25,0,0.05,248.36,196.053,163.659
0.001,0.00982769,0.25,0,0.09,249.241,197.808,167.8
0.001,0.00982769,0.25,0,0.17,250.271,200.189,173.872
0.001,0.00982769,0.25,0.166667,0.01,246.215,193.245,156.421
0.001,0.00982769,0.25,0.166667,0.21,249.826,200.785,176.073
0.001,0.00982769,0.25,0.166667,0.05,247.22,195.396,162.823
0.001,0.00982769,0.25,0.166667,0.25,250.325,201.832,178.272
0.001,0.00982769,0.25,0.333333,0.01,245.02,192.303,157.122
0.001,0.00982769,0.25,0.333333,0.05,246.146,194.542,163.468
0.001,0.00982769,0.25,0.333333,0.13,247.675,197.594,170.997
0.001,0.00982769,0.25,0.166667,0.17,249.263,199.67,173.53
0.001,0.00982769,0.25,0.5,0.01,243.915,191.697,158.305
0.001,0.00982769,0.25,0.333333,0.09,247.3,196.273,167.79
0.001,0.00982769,0.25,0.5,0.09,245.965,196.199,168.859
0.001,0.00982769,0.25,0.333333,0.25,249.704,201.357,179.049
0.001,0.00982769,0.25,0.333333,0.17,248.681,199.525,173.834
0.001,0.00982769,0.25,0.333333,0.21,249.252,200.459,176.582
0.001,0.00982769,0.25,0.5,0.05,245.084,194.481,164.266
0.001,0.00982769,0.25,0.5,0.17,247.435,199.194,175.307
0.001,0.00982769,0.25,0.5,0.13,246.862,197.774,172.744
0.001,0.00982769,0.25,0.5,0.25,248.487,201.297,180.435
0.001,0.00982769,0.25,0.5,0.21,248.084,200.334,178.127
0.001,0.00982769,0.25,0.666667,0.01,242.766,191.37,160.423
0.001,0.00982769,0.25,0.666667,0.25,247.878,200.78,181.567
