Cm,Ch,Bm,Bh,T,sR,sG,sB
0.00155147,0.206132,0.5,0.75,0.25,5.54558,3.63862,4.27781
0.00155147,0.277834,0.5,0.75,0.25,4.93666,3.17224,3.9743
0.00155147,0.298359,0.5,0.75,0.25,4.617,2.98644,3.94188
0.00155147,0.258387,0.5,0.75,0.25,5.01618,3.24519,4.07057
0.00155147,0.23998,0.5,0.75,0.25,5.17769,3.32341,4.15515
0.00227558,0.00349187,0.5,0.75,0.25,5.67274,8.9573,7.39625
0.00227558,0.00525113,0.5,0.75,0.25,5.58667,8.85554,7.299
0.00227558,0.00430441,0.5,0.75,0.25,10.2721,9.03172,7.29346
0.00227558,0.00280018,0.5,0.75,0.25,5.76652,9.23082,7.55118
0.00227558,0.00221673,0.5,0.75,0.25,5.7881,9.25674,7.66843
0.00155147,0.32,0.5,0.75,0.25,4.60301,2.8099,3.90349
0.00227558,0.00634605,0.5,0.75,0.25,10.1095,8.70667,7.09595
0.00227558,0.0125124,0.5,0.75,0.25,9.5431,7.82394,6.56895
0.00227558,0.0194837,0.5,0.75,0.25,8.96912,7.26205,6.11234
0.00227558,0.0290279,0.5,0.75,0.25,8.57332,6.64252,6.0987
0.00227558,0.0223524,0.5,0.75,0.25,8.84667,6.99663,6.16548
0.00227558,0.014583,0.5,0.75,0.25,9.32123,7.66231,6.51622
0.00227558,0.0255268,0.5,0.75,0.25,8.80056,6.95284,6.0676
0.00227558,0.00172959,0.5,0.75,0.25,6.02448,9.44491,7.65061
0.00227558,0.0328773,0.5,0.75,0.25,8.38557,6.54089,5.71003
0.00227558,0.0370974,0.5,0.75,0.25,8.46517,6.34501,5.69855
0.00227558,0.001,0.5,0.75,0.25,5.95899,9.66922,7.82395
0.00227558,0.00904004,0.5,0.75,0.25,9.76408,8.26647,6.88352
0.00227558,0.00760388,0.5,0.75,0.25,9.93291,8.39683,7.09075
0.00227558,0.0169004,0.5,0.75,0.25,9.1631,7.49049,6.29445
0.00227558,0.0106706,0.5,0.75,0.25,9.7264,7.95112,6.78002
0.00227558,0.00132752,0.5,0.75,0.25,6.02216,9.64949,7.69674
0.00227558,0.0417114,0.5,0.75,0.25,8.50467,6.31339,5.55121
0.00227558,0.190618,0.5,0.75,0.25,5.87185,3.83614,4.2592
0.00227558,0.149294,0.5,0.75,0.25,6.12646,4.25777,4.47665
0.00227558,0.137144,0.5,0.75,0.25,6.4823,4.40065,4.64712
0.00227558,0.162234,0.5,0.75,0.25,6.06959,4.08432,4.47484
0.00227558,0.125752,0.5,0.75,0.25,6.75164,4.43322,4.67427
0.00227558,0.115084,0.5,0.75,0.25,6.75995,4.59989,4.80329
0.00227558,0.206132,0.5,0.75,0.25,5.53332,3.72474,4.14895
